"txn_id","posting_date","account_code","cost_centre","customer_id","currency_code","amount","description","source_system"
"91","2026-02-05","41000","CC007","1023","GBP","46137.43","GL posting 91","ERP"
"92","2026-06-30","41024","CC019","1099","EUR","4512.6","GL posting 92","ERP"
"93","2026-01-08","41010","CC009","1157","USD","25878.18","GL posting 93","ERP"
"94","2026-04-14","41031","CC012","1071","EUR","10283.32","GL posting 94","ERP"
"95","2026-02-19","41006","CC003","1161","EUR","12743.16","GL posting 95","ERP"
"96","2026-03-09","41016","CC005","1053","GBP","9245.71","GL posting 96","ERP"
"97","2026-02-14","41029","CC002","1188","EUR","14796.24","GL posting 97","ERP"
"98","2026-02-16","41001","CC001","1160","USD","22374.2","GL posting 98","ERP"
"99","2026-07-04","41029","CC011","1157","GBP","29597.14","GL posting 99","ERP"
"100","2026-04-14","41008","CC001","1017","EUR","44229.8","GL posting 100","ERP"
"101","2026-06-25","41011","CC012","1049","EUR","10217.16","GL posting 101","ERP"
"102","2026-06-16","41030","CC001","1171","GBP","31531.14","GL posting 102","ERP"
"103","2026-05-06","41030","CC002","1199","GBP","21886.57","GL posting 103","ERP"
"104","2026-01-10","41009","CC007","1179","JPY","22980.82","GL posting 104","ERP"
"105","2026-02-22","41036","CC020","1031","EUR","14686.63","GL posting 105","ERP"
"106","2026-05-09","41044","CC007","1190","USD","-2558.43","GL posting 106","ERP"
"107","2026-01-17","41027","CC014","1168","JPY","24984.7","GL posting 107","ERP"
"108","2026-03-09","41004","CC017","1165","JPY","748.71","GL posting 108","ERP"
"109","2026-04-28","41034","CC015","1192","EUR","32309.1","GL posting 109","ERP"
"110","2026-01-26","41000","CC006","1081","CHF","33459.88","GL posting 110","ERP"
"111","2026-04-01","41038","CC002","1158","EUR","22181.05","GL posting 111","ERP"
"112","2026-01-26","41042","CC013","1198","EUR","13837.46","GL posting 112","ERP"
"113","2026-06-08","41031","CC006","1032","GBP","37183.2","GL posting 113","ERP"
"114","2026-03-05","41047","CC015","1195","CHF","45945.07","GL posting 114","ERP"
"115","2026-02-18","41015","CC011","1157","JPY","8654.39","GL posting 115","ERP"
"116","2026-01-28","41019","CC006","1152","JPY","11899.11","GL posting 116","ERP"
"117","2026-04-15","41025","CC001","1027","EUR","27147.49","GL posting 117","ERP"
"118","2026-02-13","41007","CC014","1161","JPY","-1117.43","GL posting 118","ERP"
"119","2026-02-05","41018","CC019","1101","EUR","10991.98","GL posting 119","ERP"
"120","2026-03-26","41048","CC017","1158","GBP","27871.76","GL posting 120","ERP"
"121","2026-03-15","41005","CC006","1083","GBP","6592.09","GL posting 121","ERP"
"122","2026-05-13","41022","CC011","1021","JPY","13959.24","GL posting 122","ERP"
"123","2026-05-24","41049","CC020","1121","EUR","14018.83","GL posting 123","ERP"
"124","2026-04-18","41021","CC009","1031","GBP","34479.35","GL posting 124","ERP"
"125","2026-06-10","41023","CC004","1164","ZZZ","38207.05","GL posting 125","ERP"
"126","2026-07-13","41029","CC004","1086","EUR","10576.81","GL posting 126","ERP"
"127","2026-02-14","41024","CC015","1111","USD","32232.01","GL posting 127","ERP"
"128","2026-04-25","41028","CC012","1015","EUR","23760.61","GL posting 128","ERP"
"129","2026-04-07","41038","CC017","1071","EUR","14494.26","GL posting 129","ERP"
"130","2026-04-16","41034","CC005","1010","EUR","-1694.02","GL posting 130","ERP"
"131","2026-03-07","41036","CC013","1115","JPY","527.58","GL posting 131","ERP"
"132","2026-03-30","41031","CC018","1110","EUR","23529.27","GL posting 132","ERP"
"133","2026-03-02","41040","CC002","1186","GBP","9916.13","GL posting 133","ERP"
"134","2026-05-17","41033","CC012","1093","EUR","43289.39","GL posting 134","ERP"
"135","2026-01-17","41024","CC001","1153","CHF","23625.84","GL posting 135","ERP"
"136","2026-04-01","41016","CC012","1153","GBP","24164.14","GL posting 136","ERP"
"137","2026-07-08","41048","CC006","1187","EUR","14567.4","GL posting 137","ERP"
"138","2026-05-10","41036","CC019","1172","CHF","4545.64","GL posting 138","ERP"
"139","2026-06-13","41018","CC017","1173","USD","46579.26","GL posting 139","ERP"
"140","2026-07-28","41028","CC001","1104","GBP","24265.02","GL posting 140","ERP"
"141","2026-05-15","41011","CC018","1046","EUR","34182.54","GL posting 141","ERP"
"142","2026-07-23","41043","CC003","","GBP","-2559.62","GL posting 142","ERP"
"143","2026-06-20","41031","CC004","1063","CHF","41608.43","GL posting 143","ERP"
"144","2026-06-06","41037","CC018","1016","GBP","41472.76","GL posting 144","ERP"
"145","2026-03-04","41009","CC005","1071","CHF","18536.46","GL posting 145","ERP"
"146","2026-06-12","41040","CC012","1025","JPY","37236.71","GL posting 146","ERP"
"147","2026-03-23","41009","CC009","1044","CHF","-3884.96","GL posting 147","ERP"
"148","2026-07-23","41001","CC006","1185","GBP","1025.29","GL posting 148","ERP"
"149","2026-02-24","41035","CC001","1088","GBP","30707.94","GL posting 149","ERP"
"150","2026-07-09","41019","CC007","1131","JPY","11866.24","GL posting 150","ERP"
"151","2026-01-15","41042","CC020","1057","CHF","40302.39","GL posting 151","ERP"
"152","2026-04-30","41005","CC004","1163","CHF","46881.02","GL posting 152","ERP"
"153","2026-06-09","41045","CC020","1137","USD","23873.42","GL posting 153","ERP"
"154","2026-01-10","41006","CC001","1035","CHF","13020.39","GL posting 154","ERP"
"155","2026-01-17","41023","CC008","1128","GBP","45312.02","GL posting 155","ERP"
"156","2026-03-09","41003","CC002","1057","USD","25853.51","GL posting 156","ERP"
"157","2026-06-10","41039","CC011","1126","CHF","27629.27","GL posting 157","ERP"
"158","2026-05-02","41032","CC016","1010","GBP","-3009.36","GL posting 158","ERP"
"159","2026-07-25","41012","CC013","1153","JPY","7133.46","GL posting 159","ERP"
"160","2026-01-31","41019","CC018","1152","CHF","23395.08","GL posting 160","ERP"
"161","2026-01-06","41021","CC018","1165","CHF","27188.58","GL posting 161","ERP"
"162","2026-04-24","41016","CC015","1051","CHF","11737.09","GL posting 162","ERP"
"163","2026-02-06","41043","CC014","","EUR","25567.22","GL posting 163","ERP"
"164","2026-04-24","41000","CC019","1129","CHF","17258.14","GL posting 164","ERP"
"165","2026-02-13","41008","CC015","1138","CHF","45683.64","GL posting 165","ERP"
"166","2026-03-31","41014","CC005","1049","CHF","42972.95","GL posting 166","ERP"
"167","2026-04-19","41015","CC013","1120","JPY","2425.25","GL posting 167","ERP"
"168","2026-06-12","41023","CC015","1016","CHF","32888.36","GL posting 168","ERP"
"169","2026-02-21","41039","CC009","1162","GBP","18353.41","GL posting 169","ERP"
"170","2026-04-08","41039","CC005","1060","USD","23709.48","GL posting 170","ERP"
"171","2026-07-26","41038","CC004","1113","GBP","45561.96","GL posting 171","ERP"
"172","2026-04-06","41002","CC010","1123","EUR","17553.85","GL posting 172","ERP"
"173","2026-07-12","41039","CC008","1080","CHF","10340.26","GL posting 173","ERP"
"174","2026-05-13","41006","CC013","1171","GBP","42975.64","GL posting 174","ERP"
"175","2026-06-01","41039","CC017","1040","EUR","33565.08","GL posting 175","ERP"
"176","2026-07-01","41000","CC017","1083","CHF","7852.97","GL posting 176","ERP"
"177","2026-01-22","41047","CC014","1047","GBP","42359.81","GL posting 177","ERP"
"178","2026-07-13","41015","CC020","1065","JPY","7610.62","GL posting 178","ERP"
"179","2026-04-11","41038","CC014","1068","USD","10825.29","GL posting 179","ERP"
"180","2026-06-26","41005","CC020","1027","JPY","2243.36","GL posting 180","ERP"
"181","2026-04-24","41037","CC002","1034","CHF","14109.11","GL posting 181","ERP"
"182","2026-01-15","41030","CC010","1128","EUR","38748.03","GL posting 182","ERP"
"183","2026-02-09","41027","CC016","1134","JPY","1946.71","GL posting 183","ERP"
"184","2026-05-14","41026","CC010","1077","EUR","40728.02","GL posting 184","ERP"
"185","2026-05-06","41032","CC017","1120","CHF","10953.12","GL posting 185","ERP"
"186","2026-06-17","41044","CC002","1128","JPY","7432.47","GL posting 186","ERP"
"187","2026-02-28","41043","CC020","1033","JPY","6570.65","GL posting 187","ERP"
"188","2026-05-21","41013","CC001","1068","CHF","-215.79","GL posting 188","ERP"
"189","2026-02-27","41010","CC002","1199","JPY","22945.27","GL posting 189","ERP"
"190","2026-06-15","41026","CC012","1030","CHF","49281.24","GL posting 190","ERP"
"191","2026-02-08","41013","CC007","1141","USD","49191.73","GL posting 191","ERP"
"192","2026-07-07","41035","CC020","1012","EUR","9625.58","GL posting 192","ERP"
"193","2026-01-05","41028","CC018","1074","GBP","17121.18","GL posting 193","ERP"
"194","2026-03-20","41000","CC012","1113","EUR","-875.29","GL posting 194","ERP"
"195","2026-02-13","41001","CC017","1066","JPY","35657.07","GL posting 195","ERP"
"196","2026-06-15","41040","CC006","1096","GBP","9961.55","GL posting 196","ERP"
"197","2026-01-15","41009","CC014","1021","USD","49597.94","GL posting 197","ERP"
"198","2026-07-08","41012","CC014","1164","GBP","49238.79","GL posting 198","ERP"
"199","2026-01-02","41011","CC004","1115","EUR","40540.5","GL posting 199","ERP"
"200","2026-05-13","41031","CC016","1034","CHF","6905.86","GL posting 200","ERP"
"201","2026-02-13","41028","CC006","1153","CHF","8706.55","GL posting 201","ERP"
"202","2026-05-09","41041","CC012","1109","USD","34231.36","GL posting 202","ERP"
"203","2026-02-28","41021","CC002","1166","GBP","32701.97","GL posting 203","ERP"
"204","2026-07-01","41023","CC004","1010","CHF","-807.6","GL posting 204","ERP"
"205","2026-03-26","41022","CC008","1081","JPY","28390.77","GL posting 205","ERP"
"206","2026-04-21","41022","CC012","1177","CHF","1356.04","GL posting 206","ERP"
"207","2026-06-18","41004","CC010","1031","EUR","9366.8","GL posting 207","ERP"
"208","2026-04-27","41009","CC014","1099","GBP","26663.01","GL posting 208","ERP"
"209","2026-06-12","41049","CC009","1185","ZZZ","47284.37","GL posting 209","ERP"
"210","2026-07-29","41049","CC010","1136","CHF","10468.5","GL posting 210","ERP"
"211","2026-03-18","41046","CC013","1103","GBP","14168.94","GL posting 211","ERP"
"212","2026-02-02","41039","CC007","1124","GBP","25220.89","GL posting 212","ERP"
"213","2026-04-05","41030","CC008","1130","USD","6629.24","GL posting 213","ERP"
"214","2026-02-21","41010","CC011","1084","GBP","41463.92","GL posting 214","ERP"
"215","2026-04-19","41016","CC012","1040","USD","33129.75","GL posting 215","ERP"
"216","2026-04-29","41043","CC011","1155","JPY","5818.09","GL posting 216","ERP"
"217","2026-05-01","41013","CC002","1041","JPY","19984.52","GL posting 217","ERP"
"218","2026-05-21","41038","CC008","1091","EUR","46455.38","GL posting 218","ERP"
"219","2026-03-01","41031","CC003","1194","GBP","15930.64","GL posting 219","ERP"
"220","2026-06-26","41009","CC018","1197","CHF","-1557.07","GL posting 220","ERP"
"221","2026-02-19","41002","CC013","1042","CHF","-2725.96","GL posting 221","ERP"
"222","2026-01-15","41031","CC003","1023","JPY","9128.46","GL posting 222","ERP"
"223","2026-05-29","41007","CC019","1190","GBP","13407.5","GL posting 223","ERP"
"224","2026-06-10","41000","CC013","1198","GBP","45984.77","GL posting 224","ERP"
"225","2026-04-24","41016","CC015","1054","USD","28316.14","GL posting 225","ERP"
"226","2026-03-28","41043","CC019","1003","EUR","7292.32","GL posting 226","ERP"
"227","2026-01-14","41026","CC011","1072","EUR","-4210.72","GL posting 227","ERP"
"228","2026-05-02","41035","CC008","1154","GBP","8329.11","GL posting 228","ERP"
"229","2026-05-05","41025","CC009","1141","EUR","-4043","GL posting 229","ERP"
"230","2026-04-09","41034","CC012","1137","GBP","30341.81","GL posting 230","ERP"
"231","2026-07-22","41030","CC005","1038","GBP","5571.8","GL posting 231","ERP"
"232","2026-03-17","41024","CC009","1174","EUR","11347.11","GL posting 232","ERP"
"233","2026-01-04","41044","CC016","1179","JPY","19582.71","GL posting 233","ERP"
"234","2026-06-16","41043","CC006","1006","GBP","47154.17","GL posting 234","ERP"
"235","2026-03-08","41008","CC015","1088","JPY","19838.53","GL posting 235","ERP"
"236","2026-01-07","41005","CC007","1167","JPY","12573.37","GL posting 236","ERP"
"237","2026-07-13","41006","CC004","1120","JPY","22157.33","GL posting 237","ERP"
"238","2026-05-25","41012","CC002","1039","USD","27366.8","GL posting 238","ERP"
"239","2026-03-12","41049","CC012","1137","CHF","26438.98","GL posting 239","ERP"
"240","2026-03-30","41022","CC001","1107","USD","-4050.48","GL posting 240","ERP"
"241","2026-07-15","41040","CC011","1009","GBP","46237.7","GL posting 241","ERP"
"242","2026-01-28","41007","CC003","1107","JPY","47454.93","GL posting 242","ERP"
"243","2026-04-11","41037","CC006","1100","CHF","49849.72","GL posting 243","ERP"
"244","2026-04-03","41007","CC016","1136","USD","47485.73","GL posting 244","ERP"
"245","2026-07-27","41007","CC016","1182","USD","14295.79","GL posting 245","ERP"
"246","2026-07-09","41031","CC009","1034","EUR","15278.41","GL posting 246","ERP"
"247","2026-01-22","41000","CC012","1013","CHF","29229.51","GL posting 247","ERP"
"248","2026-04-24","41028","CC002","1057","GBP","23381.76","GL posting 248","ERP"
"249","2026-05-10","41039","CC011","1091","GBP","2852.55","GL posting 249","ERP"
"250","2026-06-18","41044","CC016","1155","GBP","15622.45","GL posting 250","ERP"
"251","2026-01-12","41007","CC017","1132","GBP","8521.95","GL posting 251","ERP"
"252","2026-04-15","41011","CC013","1070","EUR","15893.01","GL posting 252","ERP"
"253","2026-01-06","41013","CC010","1190","GBP","33289.46","GL posting 253","ERP"
"254","2026-04-20","41009","CC010","1002","JPY","45915.67","GL posting 254","ERP"
"255","2026-03-31","41042","CC008","","CHF","13395.62","GL posting 255","ERP"
"256","2026-04-18","41006","CC006","1005","USD","14014.11","GL posting 256","ERP"
"257","2026-06-01","41004","CC013","1161","EUR","10894.91","GL posting 257","ERP"
"258","2026-05-02","41043","CC017","1150","JPY","34794.9","GL posting 258","ERP"
"259","2026-06-04","41015","CC011","1044","JPY","22116.33","GL posting 259","ERP"
"260","2026-04-24","41005","CC011","1031","GBP","37812.13","GL posting 260","ERP"
"261","2026-06-25","41010","CC009","1107","GBP","48608.24","GL posting 261","ERP"
"262","2026-02-28","41033","CC010","1146","USD","10921.35","GL posting 262","ERP"
"263","2026-05-02","41039","CC002","1105","EUR","15792.16","GL posting 263","ERP"
"264","2026-06-17","41042","CC005","1048","GBP","25568.98","GL posting 264","ERP"
"265","2026-04-14","41042","CC008","1127","JPY","38605.69","GL posting 265","ERP"
"266","2026-05-31","41011","CC018","1115","JPY","47796.7","GL posting 266","ERP"
"267","2026-04-25","41006","CC020","1087","JPY","-3575.86","GL posting 267","ERP"
"268","2026-01-05","41044","CC019","1056","JPY","28712.35","GL posting 268","ERP"
"269","2026-01-03","41033","CC001","1105","EUR","8009.96","GL posting 269","ERP"
"270","2026-05-20","41005","CC011","1112","GBP","35432.98","GL posting 270","ERP"
"271","2026-04-14","41009","CC002","1160","USD","-4472.85","GL posting 271","ERP"
"272","2026-07-12","41038","CC012","1102","GBP","13944.5","GL posting 272","ERP"
"273","2026-05-02","41032","CC009","1160","CHF","36057.22","GL posting 273","ERP"
"274","2026-04-02","41011","CC013","1009","JPY","24744.63","GL posting 274","ERP"
"275","2026-01-09","41046","CC001","1119","JPY","9771.88","GL posting 275","ERP"
"276","2026-05-02","41034","CC013","1075","CHF","29396.66","GL posting 276","ERP"
"277","2026-05-31","41039","CC005","1068","EUR","-1519.49","GL posting 277","ERP"
"278","2026-02-28","41027","CC002","1139","USD","32384.21","GL posting 278","ERP"
"279","2026-04-17","41014","CC016","1173","JPY","36583.25","GL posting 279","ERP"
"280","2026-04-14","41039","CC010","1196","EUR","18056.18","GL posting 280","ERP"
"281","2026-03-24","41027","CC018","1012","GBP","24086.69","GL posting 281","ERP"
"282","2026-05-22","41017","CC002","1167","CHF","7890.06","GL posting 282","ERP"
"283","2026-07-22","41044","CC017","1065","GBP","-583.81","GL posting 283","ERP"
"284","2026-07-13","41040","CC005","1032","GBP","32407.71","GL posting 284","ERP"
"285","2026-04-07","41027","CC010","1107","USD","33641.25","GL posting 285","ERP"
"286","2026-03-15","41025","CC007","1042","JPY","45354.9","GL posting 286","ERP"
"287","2026-07-18","41019","CC003","1041","CHF","5436.37","GL posting 287","ERP"
"288","2026-01-12","41010","CC019","1053","JPY","24225.58","GL posting 288","ERP"
"289","2026-06-27","41019","CC018","1024","USD","20631.4","GL posting 289","ERP"
"290","2026-01-14","41046","CC017","1106","CHF","-1770.15","GL posting 290","ERP"
"291","2026-04-09","41000","CC012","1127","EUR","14849.64","GL posting 291","ERP"
"292","2026-02-05","41046","CC004","1190","GBP","23620.59","GL posting 292","ERP"
"293","2026-05-12","41042","CC008","1083","CHF","46770.65","GL posting 293","ERP"
"294","2026-07-15","41002","CC005","1108","JPY","10945.16","GL posting 294","ERP"
"295","2026-04-07","41027","CC014","1164","GBP","36372.63","GL posting 295","ERP"
"296","2026-04-01","41017","CC008","1073","CHF","26797.61","GL posting 296","ERP"
"297","2026-03-23","41043","CC001","1180","EUR","14439.44","GL posting 297","ERP"
"298","2026-05-20","41015","CC001","1143","CHF","30611.19","GL posting 298","ERP"
"299","2026-07-22","41020","CC020","1010","GBP","17908.84","GL posting 299","ERP"
"300","2026-04-11","41039","CC003","1084","GBP","31537.7","GL posting 300","ERP"
"301","2026-07-24","41042","CC009","1066","EUR","42698.31","GL posting 301","ERP"
"302","2026-07-06","41000","CC015","1049","JPY","8584.42","GL posting 302","ERP"
"303","2026-07-20","41047","CC019","1100","CHF","10163.11","GL posting 303","ERP"
"304","2026-06-06","41017","CC005","1016","GBP","6825.22","GL posting 304","ERP"
"305","2026-04-18","41007","CC002","1028","GBP","5472.04","GL posting 305","ERP"
"306","2026-05-05","41035","CC011","1041","JPY","32622.56","GL posting 306","ERP"
"307","2026-02-26","41041","CC008","1008","EUR","3362.53","GL posting 307","ERP"
"308","2026-04-27","41010","CC011","1102","EUR","11613.58","GL posting 308","ERP"
"309","2026-06-23","41025","CC020","1079","GBP","23944.06","GL posting 309","ERP"
"310","2026-02-26","41012","CC010","1157","USD","38464.96","GL posting 310","ERP"
"311","2026-05-11","41004","CC018","1078","GBP","822.88","GL posting 311","ERP"
"312","2026-03-23","41039","CC014","1052","CHF","38090.69","GL posting 312","ERP"
"313","2026-04-29","41000","CC005","1102","JPY","44985.99","GL posting 313","ERP"
"314","2026-03-01","41029","CC005","1190","JPY","47281.65","GL posting 314","ERP"
"315","2026-04-08","41019","CC016","1055","USD","10983.96","GL posting 315","ERP"
"316","2026-07-01","41010","CC008","1191","CHF","2278.71","GL posting 316","ERP"
"317","2026-05-09","41029","CC017","1091","JPY","49149.16","GL posting 317","ERP"
"318","2026-02-05","41046","CC020","1021","GBP","31469.3","GL posting 318","ERP"
"319","2026-05-09","41018","CC001","1076","EUR","-4745.84","GL posting 319","ERP"
"320","2026-04-08","41004","CC002","1051","EUR","31879.09","GL posting 320","ERP"
"321","2026-04-07","41012","CC014","1086","EUR","8171.68","GL posting 321","ERP"
"322","2026-07-17","41005","CC016","1129","EUR","30791.11","GL posting 322","ERP"
"323","2026-05-20","41019","CC017","1177","CHF","20508.59","GL posting 323","ERP"
"324","2026-04-12","41007","CC014","1058","CHF","44766.51","GL posting 324","ERP"
"325","2026-05-14","41036","CC019","1188","JPY","33494.75","GL posting 325","ERP"
"326","2026-01-23","41019","CC007","1037","JPY","24330.74","GL posting 326","ERP"
"327","2026-03-27","41031","CC016","1078","CHF","10390.88","GL posting 327","ERP"
"328","2026-06-14","41038","CC004","","JPY","26425.87","GL posting 328","ERP"
"329","2026-01-03","41004","CC005","1079","EUR","44161.22","GL posting 329","ERP"
"330","2026-07-18","41015","CC004","1034","USD","35897.76","GL posting 330","ERP"
"331","2026-03-26","41018","CC011","1120","EUR","8780.09","GL posting 331","ERP"
"332","2026-04-15","41017","CC009","1019","USD","29497.24","GL posting 332","ERP"
"333","2026-04-10","41021","CC008","1194","JPY","37998.3","GL posting 333","ERP"
"334","2026-07-07","41001","CC005","1168","CHF","44509.21","GL posting 334","ERP"
"335","2026-06-14","41045","CC020","1062","CHF","32895.59","GL posting 335","ERP"
"336","2026-01-01","41030","CC014","1009","JPY","-782.67","GL posting 336","ERP"
"337","2026-02-12","41019","CC003","1181","GBP","43396.76","GL posting 337","ERP"
"338","2026-03-15","41031","CC005","1026","JPY","39583.65","GL posting 338","ERP"
"339","2026-03-14","41035","CC004","1047","JPY","41585.33","GL posting 339","ERP"
"340","2026-06-19","41015","CC017","1168","GBP","30028.07","GL posting 340","ERP"
